N,M,Implementation,Time,Cycles,Instructions,IPC,branch_miss_pct,llc_miss_pct,Seq
200,128,No Check,1.226356563,4028612697,7619304675,1.89,0.51,10.46,1
200,128,Pallene,1.402734099,4610182135,16870656113,3.66,0.18,10.64,2
200,128,LuaJIT 2.1,1.273583900,4170020534,12102031687,2.90,0.17,1.86,2
200,128,No Check,1.204302694,3956221178,7619305016,1.93,0.51,7.58,2
200,128,Pallene,1.525474578,5015201126,16870656626,3.36,0.18,20.80,3
200,128,LuaJIT 2.1,1.277162337,4181267161,12101573228,2.89,0.17,3.26,3
200,128,No Check,1.359408120,4466398953,7619305929,1.71,0.51,18.54,3
200,128,Pallene,1.486076354,4885845555,16870657489,3.45,0.18,16.01,4
200,128,LuaJIT 2.1,1.274904892,4169605840,12099049042,2.90,0.17,1.77,4
200,128,No Check,1.168340598,3837019858,7619305984,1.99,0.51,6.80,4
200,128,Pallene,1.402216299,4611104515,16870656868,3.66,0.18,10.99,5
200,128,LuaJIT 2.1,1.273200188,4168931966,12101533465,2.90,0.17,0.97,5
200,128,No Check,1.272113418,4180066800,7619305655,1.82,0.51,12.19,5
200,128,Pallene,1.426234981,4687841416,16870657310,3.60,0.18,12.76,6
200,128,LuaJIT 2.1,1.277403078,4181310832,12102358788,2.89,0.17,2.26,6
200,128,No Check,1.238029604,4067824461,7619304501,1.87,0.51,11.52,6
200,128,Pallene,1.359829841,4466106968,16870658938,3.78,0.18,6.61,7
200,128,LuaJIT 2.1,1.274799440,4171033794,12099056325,2.90,0.17,2.68,7
200,128,No Check,1.233287940,4048967291,7619305190,1.88,0.51,9.84,7
200,128,Pallene,1.478760809,4860102964,16870657821,3.47,0.18,17.60,8
200,128,LuaJIT 2.1,1.275065067,4172418439,12100302826,2.90,0.17,2.36,8
200,128,No Check,1.254530730,4121158338,7619305398,1.85,0.51,12.20,8
200,128,Pallene,1.495536680,4913291394,16870657479,3.43,0.18,19.03,9
200,128,LuaJIT 2.1,1.275107886,4175790449,12102223124,2.90,0.17,3.00,9
200,128,No Check,1.316770678,4327431795,7619303866,1.76,0.51,15.83,9
200,128,Pallene,1.528876232,5024958977,16870656953,3.36,0.18,20.17,10
200,128,LuaJIT 2.1,1.276659546,4178814890,12101218271,2.90,0.17,3.28,10
200,128,No Check,1.229883039,4039198618,7619306024,1.89,0.51,11.51,10
200,128,Pallene,1.552831251,5103831407,16870657209,3.31,0.18,23.02,11
200,128,LuaJIT 2.1,1.278360105,4182744988,12101520706,2.89,0.17,3.92,11
200,128,No Check,1.375458021,4519558286,7619304759,1.69,0.51,19.43,11
200,128,Pallene,1.367776341,4494662598,16870657723,3.75,0.18,7.03,12
200,128,LuaJIT 2.1,1.273569094,4165534090,12100128975,2.90,0.17,2.60,12
200,128,No Check,1.287498057,4229572789,7619304787,1.80,0.51,15.19,12
200,128,Pallene,1.543101878,5075155532,16870657720,3.32,0.18,22.45,13
200,128,LuaJIT 2.1,1.274280827,4170448646,12101521732,2.90,0.17,2.09,13
200,128,No Check,1.299013005,4270232128,7619306165,1.78,0.51,16.37,13
200,128,Pallene,1.411942064,4638987616,16870658675,3.64,0.18,12.27,14
200,128,LuaJIT 2.1,1.274678006,4167505560,12098737935,2.90,0.17,1.68,14
200,128,No Check,1.238987933,4071790069,7619304979,1.87,0.51,11.80,14
200,128,Pallene,1.513417969,4971868330,16870658072,3.39,0.18,20.54,15
200,128,LuaJIT 2.1,1.275114431,4173228924,12102162840,2.90,0.17,3.07,15
200,128,No Check,1.187483173,3902249760,7619303945,1.95,0.51,7.79,15
200,128,Pallene,1.390401546,4571192460,16870658314,3.69,0.18,9.97,16
200,128,LuaJIT 2.1,1.273592196,4168946556,12101307307,2.90,0.17,1.83,16
200,128,No Check,1.310115904,4307453179,7619305239,1.77,0.51,15.90,16
200,128,Pallene,1.561636228,5133836959,16870656468,3.29,0.18,23.06,17
200,128,LuaJIT 2.1,1.272991775,4164125571,12099219679,2.91,0.17,0.75,17
200,128,No Check,1.190253563,3909393214,7619304261,1.95,0.51,7.86,17
200,128,Pallene,1.464801535,4816155267,16870657848,3.50,0.18,15.61,18
200,128,LuaJIT 2.1,1.276422785,4172335390,12098234570,2.90,0.17,2.35,18
200,128,No Check,1.181223777,3883153954,7619305012,1.96,0.51,6.58,18
200,128,Pallene,1.377492082,4529574010,16870657769,3.72,0.18,9.06,19
200,128,LuaJIT 2.1,1.274283360,4168673681,12100475975,2.90,0.17,1.59,19
200,128,No Check,1.203018911,3950121605,7619305530,1.93,0.51,7.36,19
200,128,Pallene,1.431880378,4707745169,16870656847,3.58,0.18,13.39,20
200,128,LuaJIT 2.1,1.275660634,4170239963,12099082393,2.90,0.17,2.27,20
200,128,No Check,1.199426498,3943165735,7619304396,1.93,0.51,8.84,20
200,128,Pallene,1.490074167,4896474858,16870656390,3.45,0.18,18.59,21
200,128,LuaJIT 2.1,1.275060433,4170347911,12101199826,2.90,0.17,1.85,21
200,128,No Check,1.257506888,4134008064,7619304281,1.84,0.51,13.12,21
200,128,Pallene,1.427889967,4691432033,16870657335,3.60,0.18,13.32,22
200,128,LuaJIT 2.1,1.275935063,4170457992,12098225984,2.90,0.17,2.13,22
200,128,No Check,1.208312315,3972375663,7619303802,1.92,0.51,9.43,22
200,128,Pallene,1.404730690,4615660604,16870656554,3.66,0.18,10.13,23
200,128,LuaJIT 2.1,1.275874912,4175862059,12101172208,2.90,0.17,3.23,23
