Benchmark,Implementation,Time,Seq
Centroid,C,1.04,31
Centroid,C,1.03,32
Centroid,C,1.02,33
Centroid,C,1.02,34
Centroid,C,1.03,35
Centroid,C,1.02,36
Centroid,C,1.03,37
Centroid,C,1.04,38
Centroid,C,1.03,39
Centroid,C,1.04,40
Centroid,C,1.04,41
Centroid,C,1.03,42
